"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","462.022672978482","414.45358778969774","4.655644223522639","-0.3110632460863657","0.0008999999999999009","0.0013999999999999568","0.0004","1244.4444444444443","0.0001706156572090036","0","0.0001706156572090036","0.0001706156572090036","0_1:0.003566334005562166;0_14:0.0072247272320688505","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","459.8797393918295","209.7394157256619","4.534961489827021","-0.31302980539784336","0.0033999999999999586","0.0043999999999999595","0.0024","1244.4444444444443","0.00009471289564563137","0","0.00009471289564563137","0.00009471289564563137","1_2:0.007504817775057709","1_2:561.7777777777777","true"
"2","272.68524729906835","126.5190162158741","4.680129099116794","-0.3092563684570482","0.0029000000000000137","0.0036","0.0021999999999999797","1244.4444444444443","0.0001221705849327577","0","0.0001221705849327577","0.0001221705849327577","2_3:0.004220124039163747","2_3:561.7777777777777","true"
"3","436.0280704012914","162.27802092845945","4.606652874334476","-0.25135835423971303","0.005600000000000049","0.0062","0.0050000000000000044","1244.4444444444443","0.00016721927412123138","0","0.00016721927412123138","0.00016721927412123138","","","true"
"4","246.3858188728931","145.49197714356248","4.462286949684643","-0.25507850560311957","0.062000000000000055","0.07040000000000002","0.0536","1244.4444444444443","0.0005615825632508488","0","0.0005615825632508488","0.0005615825632508488","4_3:0.011234454883335271;4_15:0.01710515125432102","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","421.3541855610408","470.9090171580876","4.426690242257237","-0.2804432142711162","0.010700000000000043","0.0158","0.005600000000000049","1244.4444444444443","0.00017131519899464052","0","0.00017131519899464052","0.00017131519899464052","5_4:0.007446504025235057","5_4:561.7777777777777","true"
"6","273.5665135395545","145.26117367497858","4.640084362349735","-0.3108103399516748","0.0041999999999999815","0.0043999999999999595","0.004","1244.4444444444443","0.00013341700092628863","0","0.00013341700092628863","0.00013341700092628863","6_5:0.005330251233086558","6_5:561.7777777777777","true"
"7","383.55952210646575","516.0883852517649","4.47569770037384","-0.2813271220492828","0.006800000000000028","0.007","0.00660000000000005","1244.4444444444443","0.00013959182592806062","0","0.00013959182592806062","0.00013959182592806062","7_8:0.006362841090833071;7_6:0.01071937061322678","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","284.43905155510345","268.97633028340846","4.40180839326424","-0.25507427876459826","0.037800000000000056","0.038000000000000034","0.0376","1244.4444444444443","0.0005086075683711936","0","0.0005086075683711936","0.0005086075683711936","8_9:0.02297429573422133","8_9:561.7777777777777","true"
"9","453.52875013072713","318.2986076968782","4.519014101708971","-0.29730654926594685","0.008700000000000041","0.009600000000000053","0.0078","1244.4444444444443","0.00037172666731329274","0","0.00037172666731329274","0.00037172666731329274","","","true"
"10","227.49053355726696","55.074247216583224","4.628365350130005","0","0.006099999999999994","0.0074","0.0048000000000000265","1244.4444444444443","0.0003069033941968884","0","0.0003069033941968884","0.0003069033941968884","10_11:0.011521614874831915;10_9:0.008541234908786832","10_11:561.7777777777777;10_9:561.7777777777777","true"
"11","334.3449598435194","237.06340706786187","4.571519859957301","-0.31187801080194943","0.017100000000000004","0.0204","0.013800000000000034","1244.4444444444443","0.00036368413128499646","0","0.00036368413128499646","0.00036368413128499646","11_12:0.006651292302829348","11_12:561.7777777777777","true"
"12","271.88996192769287","344.7973252168678","4.464321872561654","-0.3114335997689411","0.015300000000000091","0.0188","0.011800000000000033","1244.4444444444443","0.00027119460715353024","0","0.00027119460715353024","0.00027119460715353024","","","true"
"13","265.26550109334744","92.55553597790984","4.573365466790815","0","0.014399999999999968","0.019199999999999995","0.0096","1244.4444444444443","0.00015661993647305696","0","0.00015661993647305696","0.00015661993647305696","13_12:0.0073060435159872095","13_12:561.7777777777777","true"
"14","309.7720989473316","347.1272859590681","4.603981830058712","-0.3075149117337717","0.0037000000000000366","0.0048000000000000265","0.0026","1244.4444444444443","0.00009815565697251408","0","0.00009815565697251408","0.00009815565697251408","14_18:0.006206928312008142","14_18:561.7777777777777","true"
"15","330.4504643242248","65.97711559542476","4.496084133535707","-0.3235838974181829","0.01629999999999998","0.014599999999999946","0.018","1244.4444444444443","0.0006663153580549237","0","0.0006663153580549237","0.0006663153580549237","","","true"
"16","384.37027385961335","132.2129309090856","4.513222126953264","-0.31250997509736017","0.015900000000000025","0.016599999999999948","0.0152","1244.4444444444443","0.0001597859194554972","0","0.0001597859194554972","0.0001597859194554972","16_8:0.008340326614566546","16_8:561.7777777777777","true"
"17","348.84704786590993","53.90212652946764","4.675792141676554","-0.3222371456169295","0.10629999999999995","0.1184","0.09419999999999995","1244.4444444444443","0.0010083939112064334","0","0.0010083939112064334","0.0010083939112064334","17_12:0.015036312078867853;17_30:0.017795345821700947","17_12:561.7777777777777;17_30:561.7777777777777","true"
"18","256.7656204808828","49.82179359485564","4.514788460639601","-0.32147907217387134","0.016599999999999948","0.013","0.020199999999999996","1244.4444444444443","0.00027621133679946874","0","0.00027621133679946874","0.00027621133679946874","","","true"
"19","311.089293216699","195.48611507478014","4.444136589427959","-0.3142519677447134","0.022299999999999986","0.0262","0.0184","1244.4444444444443","0.00010868838463917157","0","0.00010868838463917157","0.00010868838463917157","19_18:0.008048813762939755","19_18:561.7777777777777","true"
"20","561.5418994635284","548.9307703603047","4.341288732280551","-0.31659680563840864","0.022699999999999942","0.022599999999999953","0.0228","1244.4444444444443","0.00045677553780304854","0","0.00045677553780304854","0.00045677553780304854","20_19:0.006270135004698724","20_19:561.7777777777777","true"
"21","316.50989053259036","200.54019732297184","4.485183355841793","-0.3137510643214938","0.013900000000000023","0.0112","0.016599999999999948","1244.4444444444443","0.0003818713550285111","0","0.0003818713550285111","0.0003818713550285111","21_22:0.008288037542707377;21_20:0.014885049910908138","21_22:561.7777777777777;21_20:561.7777777777777","true"
"22","386.3507663799362","163.99212709787457","4.382950404033309","-0.3235699465364606","0.029900000000000038","0.051000000000000045","0.0088","1244.4444444444443","0.0002518844040262219","0","0.0002518844040262219","0.0002518844040262219","22_23:0.0058937367249990436;22_15:0.01721999832894","22_23:561.7777777777777;22_15:561.7777777777777","true"
"23","204.39406119751862","170.72029281754067","4.531770025105109","-0.34910557092715694","0.019500000000000073","0.016000000000000014","0.023","1244.4444444444443","0.0001308062952595957","0","0.0001308062952595957","0.0001308062952595957","23_24:0.01283058817127447","23_24:561.7777777777777","true"
"24","258.7662982297091","61.445363136719955","4.646177868025716","-0.3098937587669715","0.006900000000000017","0.007000000000000006","0.0068","1244.4444444444443","0.0004382523488642676","0","0.0004382523488642676","0.0004382523488642676","24_25:0.007779679941988499","24_25:561.7777777777777","true"
"25","119.66420866126275","160.22439808996864","4.702187941421666","-0.3104687819443247","0.00770000000000004","0.009000000000000008","0.0064","1244.4444444444443","0.00015621403557972472","0","0.00015621403557972472","0.00015621403557972472","","","true"
"26","209.51122037995611","123.86736812602373","4.648806237488156","0","0.00869999999999993","0.01200000000000001","0.0054","1244.4444444444443","0.0004455447836502394","0","0.0004455447836502394","0.0004455447836502394","26_16:0.006902847690723524;26_27:0.01636316580655911;26_25:0.010716573785983646","26_16:561.7777777777777;26_27:561.7777777777777;26_25:561.7777777777777","true"
"27","319.3877864713998","68.12940030737343","4.609832427297016","-0.2878947957747321","0.0596000000000001","0.0582","0.061000000000000054","1244.4444444444443","0.0008020018568842058","0","0.0008020018568842058","0.0008020018568842058","","","true"
"28","188.12525721136785","13.531443659720646","4.516875762612752","-0.31512500613226163","0.005299999999999971","0.006399999999999961","0.0042","1244.4444444444443","0.0002018689407761944","0","0.0002018689407761944","0.0002018689407761944","28_27:0.023106494556335705","28_27:561.7777777777777","true"
"29","304.1614142327465","222.08064451964407","4.460018533986144","-0.3164470706353105","0.016000000000000014","0.0182","0.013800000000000034","1244.4444444444443","0.00014737861092904516","0","0.00014737861092904516","0.00014737861092904516","29_30:0.018348646925386847;29_28:0.008723239409007155","29_30:561.7777777777777;29_28:561.7777777777777","true"
"30","299.80080776817977","115.72229472096419","4.646272688200456","-0.2835614267270895","0.0736","0.06359999999999999","0.0836","1244.4444444444443","0.0010687914653952648","0","0.0010687914653952648","0.0010687914653952648","","","true"
"31","367.34075753214154","173.93236273637905","4.613006521613761","-0.3112675880038357","0.010199999999999987","0.0114","0.009000000000000008","1244.4444444444443","0.00033067329846691587","0","0.00033067329846691587","0.00033067329846691587","31_30:0.012349476806973764;31_32:0.009996261936861123","31_30:561.7777777777777;31_32:561.7777777777777","true"
"32","303.7144186123888","107.6305854675988","4.499275417417674","-0.3128171150093984","0.02400000000000002","0.022800000000000042","0.0252","1244.4444444444443","0.00019774440280741494","0","0.00019774440280741494","0.00019774440280741494","","","true"
"33","407.2841090231919","207.30074846934926","4.596926167098703","0","0.0016000000000000458","0.0023999999999999577","0.0008","1244.4444444444443","0.0001522585146409259","0","0.0001522585146409259","0.0001522585146409259","33_20:0.008096579163055034;33_39:0.011496610819880598","33_20:561.7777777777777;33_39:561.7777777777777","true"
"34","361.39183191015167","127.89761263282091","4.5620672721448905","0","0.0044999999999999485","0.00539999999999996","0.0036","1244.4444444444443","0.0004903831039733035","0","0.0004903831039733035","0.0004903831039733035","34_24:0.009621135169525147","34_24:561.7777777777777","true"
"35","372.05675377357375","104.34470759681938","4.721865117970559","-0.30795810239191124","0.005300000000000082","0.007600000000000051","0.003","1244.4444444444443","0.0004352428181544742","0","0.0004352428181544742","0.0004352428181544742","35_47:0.011465497685559933;35_28:0.01126661315968383","35_47:561.7777777777777;35_28:561.7777777777777","true"
"36","372.1015447738622","302.14672479761714","4.608022394980379","-0.31164624269239977","0.0047999999999999154","0.005199999999999982","0.0044","1244.4444444444443","0.00023883313907443348","0","0.00023883313907443348","0.00023883313907443348","36_32:0.007423033884171509;36_51:0.008698850824373827","36_32:561.7777777777777;36_51:561.7777777777777","true"
"37","343.66519939037227","216.05157737279765","4.497763958238972","0","0.014399999999999968","0.0182","0.010600000000000054","1244.4444444444443","0.001818484806850028","0","0.001818484806850028","0.001818484806850028","37_38:0.013140551186014288;37_52:0.013276033564790901","37_38:561.7777777777777;37_52:561.7777777777777","true"
"38","380.4950648197827","283.8888082681803","4.47549942974183","-0.33539586706236296","0.011500000000000066","0.014000000000000012","0.009","1244.4444444444443","0.0026540383581064348","0","0.0026540383581064348","0.0026540383581064348","","","true"
